OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Android 9,Linux armv7l,8,2,Qualcomm,Adreno (TM) 506,360x720,Chrome/87.0.4280.101,2409:4043:2e99:4422:5be1:108a:f375:3033,Asia,India,Himachal Pradesh,Ghumarwin,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,22.75213 deg,75.8909735 deg,1100 m,490.076628647819,90 deg,0 m/s
Win64,Win32,8,8,Google Inc.,ANGLE (Intel(R) UHD Graphics Direct3D11 vs_5_0 ps_5_0),1536x864,Chrome/87.0.4280.141,37.186.124.198,Asia,Armenia,Vayots Dzor Province,Aghavnadzor,GNC-Alfa CJSC,GNC-Alfa CJSC,40.1894849 deg,44.498985499999996 deg,2123 m,Not Available,Not Available,Not Available
